image_path,source_dataset,split,latex,normalization_target
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\3_0.png,PEaCE_real_world_test_set,real_world_test,B E T \; s u r f a c e \\ a r e a \; [ m ^ { 2 } \; g ^ { - 1 } ],mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\3_4.png,PEaCE_real_world_test_set,real_world_test,C r y s t a l l i t e \\ s i z e ^ { b } \; [ \mathring { A } ],mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\3_8.png,PEaCE_real_world_test_set,real_world_test,C O _ { 2 } \; d e s o r p t i o n \\ t e m p e r a t u r e ^ { e } \; [ ^ { \circ } C ],mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_10.png,PEaCE_real_world_test_set,real_world_test,"G C - T C D : \; G L \; S c i e n c e , \; G C 3 2 3 ; \; c o l u m n : \; m o l e c u l a r \; s i e v e , \; 3 0 - 6 0 \; m e s h",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_13.png,PEaCE_real_world_test_set,real_world_test,I o n \; c h r o m a t o g r a p h y \; ( I C ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_14.png,PEaCE_real_world_test_set,real_world_test,"I C ; \; M e t r o h m , \; 8 8 3 \; B a s i c \; I C \; p l u s ; \; c o l u m n : \; M e t r o s e p \; A \; S u p p 4 - 2 5 0 / 4 . 0",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_4.png,PEaCE_real_world_test_set,real_world_test,G a s \; c h r o m a t o g r a p h y - m a s s \; s p e c t r o m e t r y \; ( G C - M S ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_5.png,PEaCE_real_world_test_set,real_world_test,H e w l e t t \; P a c k a r d \; s y s t e m \; G C : \; H P 6 8 9 0 ; \; C P - P o r a B O N D \; Q ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_7.png,PEaCE_real_world_test_set,real_world_test,G C - f l a m e \; i o n i z a t i o n \; d e t e c t i o n \; ( G F - F I D ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_8.png,PEaCE_real_world_test_set,real_world_test,"G C - F I D : \; G L \; S c i e n c e , \; G C 4 0 0 0 ; \; c o l u m n \; f o r \; g a s : \; C P - P o r a B O N D \; Q",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\1_9.png,PEaCE_real_world_test_set,real_world_test,G C - t h e r m a l \; c o n d u c t i v i t y \; d e t e c t i o n \; ( G C - T C D ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\2_1.png,PEaCE_real_world_test_set,real_world_test,P l a s t i c \; M i x t u r e,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\4_44.png,PEaCE_real_world_test_set,real_world_test,M A H s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\4_50.png,PEaCE_real_world_test_set,real_world_test,P A H s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\5_25.png,PEaCE_real_world_test_set,real_world_test,M g O,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\5_4.png,PEaCE_real_world_test_set,real_world_test,B E T \; s u r f a c e \; a r e a,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\7_10.png,PEaCE_real_world_test_set,real_world_test,g e n e r a l \\ m e t h y l - a r o m a t i c \; ( C H _ { 3 } - A R ) \\ m e t h y l - a r o m a t i c \; a t \; o r t h o \; p o s i t i o n \; o f \; a \; h y d r o x y l \; o r \\ m e t h o x y l \; g r o u p \; ( C H _ { 3 } - A R ' ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\8_3.png,PEaCE_real_world_test_set,real_world_test,S _ { B E T } ^ { b } \; ( m ^ { 2 } \; g ^ { - 1 } ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_10.png,PEaCE_real_world_test_set,real_world_test,4 ^ { \circ } C / m i n \quad H _ { 2 } \; f l o w \quad 3 0 \; m L / m i n,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_12.png,PEaCE_real_world_test_set,real_world_test,3 0 0 ^ { \circ } C \; ( 1 5 \; m i n ) \quad A i r \; f l o w \quad 4 0 0 \; mL / m i n,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_14.png,PEaCE_real_world_test_set,real_world_test,8 1 . 5 \; m i n \quad M a k e \; u p \; f l o w \; ( N _ { 2 } ) \quad 2 5 \; m L / m i n,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_16.png,PEaCE_real_world_test_set,real_world_test,1 \; \mu 1 \quad C o l u m n \pm M a k e u p \quad 2 6 \; m L / m i n,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\14_16.png,PEaCE_real_world_test_set,real_world_test,[ c m \; s ^ { - 1 } ] \; \; \; \;\; [ k J m _ { N } ^ { - 3 } ],mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\14_51.png,PEaCE_real_world_test_set,real_world_test,^ { a ) } M N _ { C A R B } \; a n d \; M N _ { G R I } \; - \; m e t h a n e \; n u m b e r s \; o b t a i n e d \; b y,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\14_54.png,PEaCE_real_world_test_set,real_world_test,M N \; = \; ( M N _ { C A R B } + M N _ { G R I } ) / 2 .,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\14_8.png,PEaCE_real_world_test_set,real_world_test,[ ^ { \circ } C ] \quad V e l o c i t y \quad G a s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\17_2.png,PEaCE_real_world_test_set,real_world_test,^ { a } \; S S A \; w a s \; c a l c u l a t e d \; b y \; t h e \; B E T \; m e t h o d .,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\17_4.png,PEaCE_real_world_test_set,real_world_test,^ { c } \; T h e \; t o t a l \; p o r e \; v o l u m e \; w a s \; c a l c u l a t e d \; u s i n g \; t h e \; D F T \; m e t h o d .,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\17_5.png,PEaCE_real_world_test_set,real_world_test,^ { d } \; T h e \; m i c r o p o r e \; v o l u m e \; w a s \; c a l c u l a t e d \; u s i n g \; t h e \; D F T \; m e t h o d .,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_11.png,PEaCE_real_world_test_set,real_world_test,[ ( 1 - \alpha ) l n ( 1 - \alpha ) ] + \alpha,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_12.png,PEaCE_real_world_test_set,real_world_test,"t h r e e - d i m e n s i o n a l \; d i f f u s i o n , \; J a n d e l \; ( D 3 ) \quad 3 ( 1 - \alpha ) ^ { 2 / 3 } / [ 2 ( 1 - ( 1 - \alpha ) ^ { 1 / 3 } ) ]",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_14.png,PEaCE_real_world_test_set,real_world_test,"d i f f u s i o n \; c o n t r o l , \; G i n s t l i n g - B r o u n s h t e i n \; ( D 4 ) \quad 3 / 2 [ ( 1 - \alpha ) ^ { - 1 / 3 } - 1 ]",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_18.png,PEaCE_real_world_test_set,real_world_test,t h r e e - d i m e n s i o n a l \; ( A 3 ) \quad 3 ( 1 - \alpha ) [ - l n ( 1 - \alpha ) ] ^ { 3 / 2 },mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_20.png,PEaCE_real_world_test_set,real_world_test,f o u r - d i m e n s i o n a l \; ( A 4 ) \quad 4 ( 1 - \alpha ) [ - l n ( 1 - \alpha ) ] ^ { 3 / 4 },mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_24.png,PEaCE_real_world_test_set,real_world_test,t w o \; d i m e n s i o n s \; ( R 2 ) \quad 2 ( 1 - \alpha ) ^ { 1 / 2 },mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_26.png,PEaCE_real_world_test_set,real_world_test,t h r e e \; d i m e n s i o n s \; ( R 3 ) \quad 3 ( 1 - \alpha ) ^ { 2 / 3 },mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_29.png,PEaCE_real_world_test_set,real_world_test,p o w e r \; l a w \; ( P 2 ) \quad 2 \alpha ^ { 1 / 2 },mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_30.png,PEaCE_real_world_test_set,real_world_test,p o w e r \; l a w \; ( P 3 ) \quad 3 \alpha ^ { 2 / 3 },mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_31.png,PEaCE_real_world_test_set,real_world_test,p o w e r ; l a w ; ( P 4 ) \quad 4 alpha ^ { 3 / 4 },mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_3.png,PEaCE_real_world_test_set,real_world_test,f i r s t \; o r d e r ( F 1 ) \quad 1 - \alpha,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_5.png,PEaCE_real_world_test_set,real_world_test,s e c o n d \; o r d e r \; ( F 2 ) \quad ( 1 - \alpha ) ^ { 2 },mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\19_9.png,PEaCE_real_world_test_set,real_world_test,o n e - d i m e n s i o n a l \; d i f f u s i o n \; ( D 1 ) \quad 1 / 2 \alpha,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\20_3.png,PEaCE_real_world_test_set,real_world_test,T _ { s } ^ { a } \; ( ^ { \circ } C ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\21_7.png,PEaCE_real_world_test_set,real_world_test,E _ { O } \; ( k c a l \; m o l ^ { - 1 } ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\6_0.png,PEaCE_real_world_test_set,real_world_test,P r o x i m a t e \; A n a l y s i s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\6_8.png,PEaCE_real_world_test_set,real_world_test,U l t i m a t e \; A n a l y s i s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\7_0.png,PEaCE_real_world_test_set,real_world_test,F u n c t i o n a l \; G r o u p,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\7_1.png,PEaCE_real_world_test_set,real_world_test,I n t e g r a t i o n \; R e g i o n ( p p m ),mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\7_6.png,PEaCE_real_world_test_set,real_world_test,A l i p h a t i c \; C - O \; b o n d,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\7_9.png,PEaCE_real_world_test_set,real_world_test,A l i p h a t i c \; C - C \; b o n d,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\11_0.png,PEaCE_real_world_test_set,real_world_test,G C \; m o d e l,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\11_1.png,PEaCE_real_world_test_set,real_world_test,"A g i l e n t \; 7 8 9 0 B \; G C / T O F - M S \; ( A L M S C O , U K )",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\11_5.png,PEaCE_real_world_test_set,real_world_test,O v e n \; a n d \; G C \; s e t t i n g,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\11_6.png,PEaCE_real_world_test_set,real_world_test,D e t e c t o r \; s e t t i n g \quad  V a l u e,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\12_125.png,PEaCE_real_world_test_set,real_world_test,3 - P h e n y l - 2 H - c h r o m e n e,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\12_4.png,PEaCE_real_world_test_set,real_world_test,V i r g i n \; P E T,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\12_7.png,PEaCE_real_world_test_set,real_world_test,C a r b o n d i o x i d e / A c e t a l d e h y d e,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\13_18.png,PEaCE_real_world_test_set,real_world_test,V i r g i n \; P E T \; + \; T M A H,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\13_8.png,PEaCE_real_world_test_set,real_world_test,V i r g i n \; P E T,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\14_0.png,PEaCE_real_world_test_set,real_world_test,I n p u t \quad P r o c e s s \quad M a x i m u m \quad E n t h a l p y \; o f,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\14_3.png,PEaCE_real_world_test_set,real_world_test,P r o p o r t i o n \; o f \; H y d r o g e n \; a n d,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\14_4.png,PEaCE_real_world_test_set,real_world_test,M a t e r i a l \; \; T e m p e r a t u r e \; \; \; B u r n i n g \quad H u m i d \; F l u e,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\14_52.png,PEaCE_real_world_test_set,real_world_test,t h e \; C A R B \; a n d \; G R I \; m e t h o d s .,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\14_7.png,PEaCE_real_world_test_set,real_world_test,C a r b o n \; A t o m s \; i n \; t h e \; P y r o l y s i s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\18_16.png,PEaCE_real_world_test_set,real_world_test,C 1 2 H 2 4,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\18_29.png,PEaCE_real_world_test_set,real_world_test,C 1 4 H 2 6,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\18_33.png,PEaCE_real_world_test_set,real_world_test,C 1 4 H 2 8,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\18_48.png,PEaCE_real_world_test_set,real_world_test,C 1 7 H 3 4,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\18_52.png,PEaCE_real_world_test_set,real_world_test,C 1 7 H 3 6,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\18_60.png,PEaCE_real_world_test_set,real_world_test,C 2 0 H 3 8,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\18_64.png,PEaCE_real_world_test_set,real_world_test,C 2 0 H 4 0,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\18_66.png,PEaCE_real_world_test_set,real_world_test,"3 - E i c o s e n e , \; ( E ) -",mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\18_78.png,PEaCE_real_world_test_set,real_world_test,C 2 6 H 5 4,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\19_16.png,PEaCE_real_world_test_set,real_world_test,N u c l e a t i o n \; G r o w t h \; M o d e l s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\19_22.png,PEaCE_real_world_test_set,real_world_test,G e o m e t r i c a l \; C o n t r a c t i o n \; M o d e l,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\19_23.png,PEaCE_real_world_test_set,real_world_test,o n e \; d i m e n s i o n \; ( R 1 ) \quad 1,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_normal\19_28.png,PEaCE_real_world_test_set,real_world_test,E x p e r i m e n t a l \; N u c l e a t i o n \; M o d e l s,mhchem_or_reaction_json
D:\competition\date\data\raw\PEaCE\real_world_test_set\cell_chemical&special\11_3.png,PEaCE_real_world_test_set,real_world_test,D B - 5 M S \; ( A g i l e n t \; J & W \; G C \; C o l u m n ),mhchem_or_reaction_json
